id,title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,lectures
55,Pakistan Studies,SS1015,BCS-1F,Ms Asma Sikandar,2,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '08:30', 'end_time': '10:20', 'room': 'C-4'}]"
56,Pakistan Studies,SS1015,BCS-1G,Ms Asma Sikandar,2,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '12:30', 'end_time': '14:20', 'room': 'C-7'}]"
57,Pakistan Studies,SS1015,BCS-1H,Dr Muhammad Shamshad,2,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '10:00', 'end_time': '11:50', 'room': 'D-5'}]"
58,Pakistan Studies,SS1015,BCS-1J,Dr Muhammad Shamshad,2,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '13:00', 'end_time': '14:50', 'room': 'C-2'}]"
59,Ideology and Constitution of Pakistan,SS1014,BCS-1F,,2,BS,CS,HSS,Core,False,"[{'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:50', 'room': 'C-3'}]"
60,Ideology and Constitution of Pakistan,SS1014,BCS-1G,,2,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '10:00', 'end_time': '11:50', 'room': 'D-2'}]"
61,Ideology and Constitution of Pakistan,SS1014,BCS-1H,,2,BS,CS,HSS,Core,False,"[{'day': 'Thursday', 'start_time': '11:30', 'end_time': '13:20', 'room': 'C-7'}]"
62,Ideology and Constitution of Pakistan,SS1014,BCS-1J,,2,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:50', 'room': 'C-4'}]"
63,Programming Fundamentals Lab,CL1002,BCS-1A,Ms. Marwa Khan,1,BS,CS,CS,Core,False,"[{'day': 'Wednesday', 'start_time': '14:30', 'end_time': '17:20', 'room': 'Lab-13'}]"
64,Programming Fundamentals Lab,CL1002,BCS-1B,,1,BS,CS,CS,Core,False,"[{'day': 'Thursday', 'start_time': '14:30', 'end_time': '17:20', 'room': 'Lab-13'}]"
65,Programming Fundamentals Lab,CL1002,BCS-1C,Ms. Namra Absar,1,BS,CS,CS,Core,False,"[{'day': 'Wednesday', 'start_time': '08:30', 'end_time': '11:20', 'room': 'Lab-15'}]"
66,Programming Fundamentals Lab,CL1002,BCS-1D,,1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '08:30', 'end_time': '11:20', 'room': 'Lab-15'}]"
67,Programming Fundamentals Lab,CL1002,BCS-1E,,1,BS,CS,CS,Core,False,"[{'day': 'Wednesday', 'start_time': '08:30', 'end_time': '11:20', 'room': 'Lab-16'}]"
68,Programming Fundamentals Lab,CL1002,BCS-1F,,1,BS,CS,CS,Core,False,"[{'day': 'Thursday', 'start_time': '08:30', 'end_time': '11:20', 'room': 'Lab-15'}]"
